Emp_id,First Name,Last Name,Age,Band,Phone,Email,State,City,Flage,DOJ,DateOfLeaving,EffectiveFrom,EffectiveTo
1,Bhanumati,Krish,27,3,'914004828467,rajata64@example.net,Delhi,Delhi,Y,24-02-2020,01-01-1999,21-03-2025,01-01-1999
2,Wazir,Reddy,48,5,'915918738284,noah16@example.net,Delhi,Delhi,Y,02-03-2017,01-01-1999,29-10-2025,01-01-1999
3,Gautam,Gill,29,5,'916202131108,npant@example.com,W Bengal,Kolkata,Y,01-08-2022,01-01-1999,29-03-2025,01-01-1999
4,Alka,Butala,32,3,'913016989849,ubains@example.org,Delhi,Delhi,Y,11-06-2016,01-01-1999,26-06-2025,01-01-1999
5,Kashish,Cheema,49,4,'391024755,misrahiral@example.net,Kerala,Kochi,Y,19-04-2021,01-01-1999,11-08-2025,01-01-1999
6,Ojasvi,Pandya,35,2,'5535190953,vedasethi@example.net,Tamil Nadu,Chennai,Y,23-11-2020,01-01-1999,22-01-2026,01-01-1999
7,Chameli,Sekhon,24,2,'1611663975,sarthakrattan@example.org,Delhi,Delhi,Y,25-11-2021,01-01-1999,22-09-2025,01-01-1999
8,Jatin,Master,32,2,'4168055395,gaurang43@example.org,Kerala,Kochi,Y,05-07-2020,01-01-1999,12-07-2025,01-01-1999
9,Mitali,Dara,59,6,'3816665973,osanghvi@example.org,Maharastra,Pune,Y,24-11-2019,01-01-1999,12-07-2025,01-01-1999
10,Quincy,Bala,43,5,'7535620278,darika96@example.com,Maharastra,Mumbai,Y,29-07-2015,01-01-1999,27-06-2025,01-01-1999
11,Saumya,Sanghvi,51,6,'912392977325,bassigeetika@example.net,Telangana,Hyderabad,Y,19-06-2019,01-01-1999,17-01-2026,01-01-1999
12,Joshua,Mall,23,4,'5153966064,diptanaidu@example.com,Telangana,Hyderabad,Y,16-08-2025,01-01-1999,25-01-2026,01-01-1999
13,Girish,Saxena,42,6,'919970009,tanejanilima@example.net,Karnataka,Bangalore,Y,27-03-2023,01-01-1999,07-09-2025,01-01-1999
14,Balhaar,Grover,36,2,'1594246854,pchoudhary@example.net,Maharastra,Pune,Y,17-10-2016,01-01-1999,23-05-2025,01-01-1999
15,Garima,Kadakia,44,5,'847465659,basusachi@example.com,Gujrat,Ahmedabad,Y,28-01-2025,01-01-1999,27-08-2025,01-01-1999
16,Dalaja,Mohanty,44,3,'914544004559,pmadan@example.org,Maharastra,Mumbai,Y,24-07-2019,01-01-1999,06-12-2025,01-01-1999
17,Warjas,Rajagopal,31,5,'5859319787,leela21@example.org,Gujrat,Ahmedabad,Y,11-02-2018,01-01-1999,17-08-2025,01-01-1999
18,Omisha,Wable,59,4,'1403923465,wpadmanabhan@example.com,W Bengal,Kolkata,Y,27-03-2022,01-01-1999,01-07-2025,01-01-1999
19,Vedika,Krish,30,4,'2552484348,karharita@example.org,Tamil Nadu,Chennai,Y,09-12-2017,01-01-1999,08-02-2026,01-01-1999
20,Ojasvi,Hora,53,2,'1583820762,hiral42@example.net,Telangana,Hyderabad,Y,08-11-2024,01-01-1999,21-06-2025,01-01-1999
21,Oliver,Keer,33,5,'914258966351,riachadha@example.com,Karnataka,Bangalore,Y,13-05-2020,01-01-1999,24-10-2025,01-01-1999
22,Atharv,Raman,47,4,'913579074189,hegdeindali@example.org,Kerala,Kochi,Y,31-12-2023,01-01-1999,19-08-2025,01-01-1999
23,Utkarsh,Halder,56,6,'8242989406,ati40@example.com,Karnataka,Bangalore,Y,27-09-2021,01-01-1999,10-03-2025,01-01-1999
24,Oeshi,Srinivas,43,4,'914561438537,abeer24@example.org,Gujrat,Ahmedabad,Y,28-12-2020,01-01-1999,17-08-2025,01-01-1999
25,Manthan,Dutta,30,2,'917773469806,ngoswami@example.com,Gujrat,Ahmedabad,Y,30-08-2021,01-01-1999,07-10-2025,01-01-1999
26,Victor,Mohanty,45,3,'5743510392,tramachandran@example.org,W Bengal,Kolkata,Y,26-03-2022,01-01-1999,21-03-2025,01-01-1999
27,Nihal,Pai,31,4,'7275813570,janyachar@example.com,Maharastra,Pune,Y,19-05-2019,01-01-1999,06-06-2025,01-01-1999
28,Samesh,Oommen,23,4,'4794348701,esastry@example.net,Maharastra,Mumbai,Y,06-12-2020,01-01-1999,18-07-2025,01-01-1999
29,Yuvraj,Jayaraman,31,5,'7112746833,kabir40@example.org,Karnataka,Bangalore,Y,30-05-2019,01-01-1999,26-10-2025,01-01-1999
30,Rachita,Jha,47,2,'2732505087,farhanchahal@example.com,Rajsthan,Jaipur,Y,12-10-2015,01-01-1999,18-11-2025,01-01-1999
31,Zaid,Rajagopalan,42,3,'919105394800,damyantibumb@example.com,Kerala,Kochi,Y,04-10-2017,01-01-1999,21-10-2025,01-01-1999
32,Thomas,Bahl,35,4,'3955515439,ymand@example.org,Maharastra,Mumbai,Y,05-02-2017,01-01-1999,25-10-2025,01-01-1999
33,Ayushman,Om,52,4,'4141164211,lakshmichokshi@example.org,Maharastra,Mumbai,Y,20-02-2021,01-01-1999,04-09-2025,01-01-1999
34,Jason,Srivastava,53,3,'6701149408,bhavyathaker@example.net,Maharastra,Mumbai,Y,11-04-2016,01-01-1999,06-08-2025,01-01-1999
35,Aishani,Kanda,49,2,'919905580117,purohitkaran@example.net,Tamil Nadu,Chennai,Y,17-03-2019,01-01-1999,28-02-2026,01-01-1999
36,Veer,Keer,45,2,'916686148785,wnayak@example.org,Gujrat,Ahmedabad,Y,07-10-2022,01-01-1999,13-05-2025,01-01-1999
37,Aarna,Anne,26,6,'447888220,kumarfiyaz@example.net,Gujrat,Ahmedabad,Y,19-12-2025,01-01-1999,23-08-2025,01-01-1999
38,Wishi,Purohit,60,2,'3768567614,sundermeera@example.com,Maharastra,Mumbai,Y,22-05-2015,01-01-1999,28-02-2025,01-01-1999
39,Libni,Dube,28,2,'6078331822,lipika41@example.net,Gujrat,Ahmedabad,Y,21-07-2016,01-01-1999,02-05-2025,01-01-1999
40,Neel,Venkataraman,24,6,'8000806514,falandixit@example.net,Gujrat,Ahmedabad,Y,21-11-2016,01-01-1999,09-03-2026,01-01-1999
41,Chandresh,Agate,44,6,'6986163056,opatla@example.org,Tamil Nadu,Chennai,Y,20-10-2015,01-01-1999,03-08-2025,01-01-1999
42,Wahab,Chhabra,58,3,'5637651431,kritika14@example.com,Rajsthan,Jaipur,Y,02-05-2017,01-01-1999,02-01-2026,01-01-1999
43,Manthan,Hora,20,2,'915704617530,gauravray@example.net,Rajsthan,Jaipur,Y,27-03-2022,01-01-1999,25-11-2025,01-01-1999
44,Aahana,Peri,38,6,'331181813,ykalita@example.com,Karnataka,Bangalore,Y,22-01-2021,01-01-1999,22-12-2025,01-01-1999
45,Aadi,Iyengar,47,3,'8882334825,sainarain@example.com,Tamil Nadu,Chennai,Y,19-03-2025,01-01-1999,27-08-2025,01-01-1999
46,Aarush,Thaman,34,5,'695079577,rajata34@example.net,W Bengal,Kolkata,Y,07-02-2018,01-01-1999,29-05-2025,01-01-1999
47,Samaksh,Reddy,25,2,'3074797000,kuruvillarishi@example.org,Tamil Nadu,Chennai,Y,10-09-2020,01-01-1999,02-03-2025,01-01-1999
48,Aarav,Kota,41,4,'9730628371,kalitabarkha@example.org,Maharastra,Pune,Y,07-01-2025,01-01-1999,21-03-2026,01-01-1999
49,Pratyush,Mutti,52,5,'3832427619,garima88@example.com,Maharastra,Mumbai,Y,01-02-2022,01-01-1999,07-09-2025,01-01-1999
50,Hitesh,Saraf,29,2,'914476864093,majumdarguneet@example.net,Gujrat,Ahmedabad,Y,24-11-2023,01-01-1999,22-03-2025,01-01-1999
51,Mekhala,Vohra,34,4,'647551439,watika74@example.net,Karnataka,Bangalore,Y,06-08-2016,01-01-1999,02-12-2025,01-01-1999
52,Yochana,Din,23,5,'3877427817,aishanisem@example.com,Tamil Nadu,Chennai,Y,13-04-2018,01-01-1999,22-12-2025,01-01-1999
53,Anirudh,Warrior,43,6,'6040982973,gardeharsh@example.com,Rajsthan,Jaipur,Y,13-01-2022,01-01-1999,03-11-2025,01-01-1999
54,Zayan,Nagarajan,48,5,'962532995,oscar83@example.com,Karnataka,Bangalore,Y,10-04-2024,01-01-1999,21-12-2025,01-01-1999
55,Orinder,Raj,46,2,'9743579859,seshadrikalpit@example.com,Tamil Nadu,Chennai,Y,14-11-2022,01-01-1999,01-05-2025,01-01-1999
56,Isha,Chawla,33,2,'2739128309,abiswas@example.org,Tamil Nadu,Chennai,Y,24-06-2016,01-01-1999,18-03-2026,01-01-1999
57,Jalsa,Murty,59,2,'4099975379,ucchal69@example.org,Tamil Nadu,Chennai,Y,27-11-2016,01-01-1999,05-04-2025,01-01-1999
58,Onveer,Choudhury,58,5,'8538479005,geetika06@example.org,W Bengal,Kolkata,Y,12-10-2021,01-01-1999,05-04-2025,01-01-1999
59,Advaith,Pathak,36,2,'6347562826,wvarkey@example.org,Maharastra,Mumbai,Y,03-12-2023,01-01-1999,20-03-2025,01-01-1999
